,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Arroyo,75,BO,1563663501,66,-11.08,-66.08,86.0,0.98
1,Cape Town,0,ZA,1563663263,81,-33.93,18.42,48.99,5.82
2,Constitucion,75,MX,1563663505,33,23.99,-104.67,80.01,8.05
3,Crestview,1,US,1563663506,65,30.76,-86.57,87.01,9.17
4,Huntington,1,US,1563663507,55,40.87,-73.43,96.8,13.87
5,Saldanha,0,PT,1563663509,69,41.42,-6.55,65.8,2.98
6,Arraial do Cabo,40,BR,1563663510,88,-22.97,-42.02,66.2,11.41
7,Mataura,65,NZ,1563663511,98,-46.19,168.86,48.0,3.44
8,Hami,100,CN,1563663513,51,42.84,93.51,73.0,8.3
9,Kuching,75,MY,1563663514,94,1.56,110.34,80.6,2.24
10,Atuona,0,PF,1563663459,79,-9.8,-139.03,79.66,13.31
11,Pyay,96,MM,1563663336,90,18.82,95.22,76.6,1.77
12,Klaksvik,79,FO,1563663519,100,62.23,-6.59,51.8,3.36
13,Meulaboh,100,ID,1563663520,76,4.14,96.13,80.38,4.47
14,Albany,75,US,1563663346,52,42.65,-73.75,93.99,8.05
15,Bambous Virieux,20,MU,1563663303,88,-20.34,57.76,70.0,5.82
16,Hermanus,72,ZA,1563663524,83,-34.42,19.24,46.0,8.01
17,Ushuaia,0,AR,1563663525,64,-54.81,-68.31,35.6,13.87
18,Souillac,0,FR,1563663527,88,45.6,-0.6,68.0,5.82
19,Quatre Cocos,20,MU,1563663528,88,-20.21,57.76,70.0,5.82
20,Pervomayskiy,0,RU,1563663530,85,53.24,40.29,56.98,8.68
21,Cidreira,0,BR,1563663531,80,-30.17,-50.22,62.02,9.66
22,Hofn,100,IS,1563663532,99,64.25,-15.21,40.06,2.8
23,Ciudad Bolivar,41,VE,1563663534,60,8.12,-63.55,83.26,8.05
24,Te Anau,99,NZ,1563663536,85,-45.41,167.72,46.72,4.54
25,Isangel,20,VU,1563663537,57,-19.55,169.27,75.2,9.17
26,Busselton,100,AU,1563663538,64,-33.64,115.35,57.99,28.39
27,Mount Gambier,75,AU,1563663540,87,-37.83,140.78,46.4,8.05
28,Punta Arenas,75,CL,1563663541,93,-53.16,-70.91,35.6,8.05
29,Jamestown,7,AU,1563663542,78,-33.21,138.6,49.96,10.09
30,Piacabucu,55,BR,1563663544,86,-10.41,-36.43,73.54,11.54
31,Sebinkarahisar,95,TR,1563663545,93,40.29,38.42,51.58,4.03
32,Dingle,63,PH,1563663546,79,11.0,122.67,80.92,0.63
33,Vaini,100,IN,1563663548,90,15.34,74.49,77.86,8.41
34,Hithadhoo,78,MV,1563663420,78,-0.6,73.08,82.54,15.93
35,Kodiak,1,US,1563663550,21,39.95,-94.76,99.0,9.17
36,Hilo,75,US,1563663552,61,19.71,-155.08,86.0,10.29
37,Kahului,40,US,1563663553,55,20.89,-156.47,87.8,14.99
38,Beloha,17,MG,1563663554,88,-25.17,45.06,64.0,7.23
39,Ribeira Grande,0,PT,1563663556,80,38.52,-28.7,72.64,20.42
40,Ancud,90,CL,1563663557,100,-41.87,-73.83,41.0,6.93
41,Lompoc,1,US,1563663477,100,34.64,-120.46,73.99,5.82
42,Sol-Iletsk,0,RU,1563663560,81,51.16,55.0,64.0,9.22
43,Bredasdorp,69,ZA,1563663561,86,-34.53,20.04,46.0,8.05
44,Rikitea,32,PF,1563663562,50,-23.12,-134.97,67.06,8.37
45,Bluff,59,AU,1563663564,70,-23.58,149.07,61.48,11.88
46,Faanui,16,PF,1563663565,78,-16.48,-151.75,76.96,18.12
47,Broken Hill,66,AU,1563663567,32,-31.97,141.45,55.4,10.29
48,Zhigalovo,81,RU,1563663568,60,54.81,105.15,65.98,1.34
49,Juneau,90,US,1563663569,87,58.3,-134.42,57.2,10.29
50,Clovis,1,US,1563663567,29,36.83,-119.7,97.0,3.36
51,Husavik,16,CA,1563663572,65,50.56,-96.99,71.01,3.0
52,Esperance,75,AU,1563663573,93,-33.86,121.89,51.8,14.99
53,Labuhan,0,ID,1563663575,88,-2.54,115.51,75.52,0.13
54,Victoria,75,BN,1563663555,88,5.28,115.24,82.4,2.24
55,Tasiilaq,40,GL,1563663577,75,65.61,-37.64,44.6,4.7
56,Ponta Delgada,20,PT,1563663579,88,37.73,-25.67,71.6,5.82
57,Alamos,100,AR,1563663580,94,-36.9,-62.36,57.52,11.74
58,Severodvinsk,40,RU,1563663582,76,64.56,39.82,51.8,4.47
59,Bratsk,75,RU,1563663583,82,56.15,101.63,55.4,6.71
60,Konstantinovka,44,UA,1563663584,72,46.85,29.85,65.26,3.96
61,Chuy,2,UY,1563663586,85,-33.69,-53.46,60.94,11.83
62,Hobart,40,AU,1563663587,54,-42.88,147.33,55.4,18.34
63,Sitka,0,US,1563663588,33,37.17,-99.65,100.99,18.01
64,Saint-Philippe,75,CA,1563663590,74,45.36,-73.48,89.01,17.22
65,Okhotsk,0,RU,1563663592,44,59.36,143.24,64.0,17.18
66,Carnarvon,39,ZA,1563663594,65,-30.97,22.13,34.3,11.12
67,Isla Vista,0,US,1563663595,44,34.41,-119.86,80.01,11.41
68,Phetchaburi,100,TH,1563663597,41,13.1,99.94,88.0,1.54
69,Swift Current,75,CA,1563663598,49,50.29,-107.8,69.8,9.17
70,Uglovskoye,18,RU,1563663600,73,51.36,80.19,65.8,2.89
71,Luderitz,0,NA,1563663601,67,-26.65,15.16,57.88,9.37
72,Esna,63,RO,1563663602,65,45.2,27.57,67.6,3.65
73,Virginia Beach,1,US,1563663498,56,36.85,-75.98,98.01,9.17
74,Anloga,40,GH,1563663610,88,5.79,0.9,78.8,9.17
75,Hay River,40,CA,1563663612,50,60.82,-115.79,77.0,9.17
76,East London,34,ZA,1563663340,83,-33.02,27.91,42.58,6.17
77,Katsuura,75,JP,1563663618,83,33.93,134.5,80.6,21.92
78,Sao Filipe,50,CV,1563663622,81,14.9,-24.5,72.46,19.69
79,Portland,1,US,1563663333,66,43.66,-70.25,91.4,8.05
80,Norden,2,DE,1563663626,88,53.59,7.21,64.99,5.82
81,Georgetown,40,GY,1563663435,88,6.8,-58.16,78.8,6.93
82,Kutum,100,SD,1563663629,76,14.2,24.66,68.86,16.24
83,Pavilosta,12,LV,1563663630,93,56.89,21.19,55.4,13.15
84,Pacific Grove,1,US,1563663632,60,36.62,-121.92,84.99,12.75
85,Puerto Ayora,20,EC,1563663633,54,-0.74,-90.35,82.4,16.11
86,Loandjili,20,CG,1563663635,100,-4.77,11.87,69.8,2.24
87,Cody,1,US,1563663636,30,44.53,-109.06,82.0,3.22
88,Torbay,90,CA,1563663637,87,47.66,-52.73,51.01,11.41
89,Upernavik,100,GL,1563663639,94,72.79,-56.15,43.48,6.42
90,Dongsheng,69,CN,1563663640,75,29.72,112.52,83.08,2.84
91,Faya,5,SA,1563663641,20,18.39,42.45,77.0,2.44
92,Bethel,90,US,1563663500,76,60.79,-161.76,57.2,10.29
93,Westport,1,US,1563663644,56,41.14,-73.36,93.99,8.05
94,Naze,82,NG,1563663645,97,5.43,7.07,72.1,3.74
95,Dunedin,96,NZ,1563663647,99,-45.87,170.5,50.0,15.68
96,Sao Joao da Barra,75,BR,1563663648,88,-21.64,-41.05,68.0,9.17
97,Airai,0,TL,1563663649,42,-8.93,125.41,76.24,0.76
98,Chunskiy,100,RU,1563663651,98,56.08,99.63,53.02,4.03
99,Darnah,0,LY,1563663652,81,32.77,22.64,76.6,13.11
100,Escanaba,90,US,1563663653,83,45.75,-87.06,71.6,5.82
101,Saskylakh,6,RU,1563663655,50,71.97,114.09,61.48,9.24
102,Dhadar,0,IN,1563663656,55,28.33,75.06,90.82,7.92
103,Kaitangata,100,NZ,1563663658,91,-46.28,169.85,50.0,8.99
104,Grand Gaube,20,MU,1563663659,88,-20.01,57.66,70.0,5.82
105,Codrington,90,AU,1563663660,100,-28.95,153.24,55.99,1.12
106,Tarakan,75,ID,1563663366,94,3.3,117.63,76.24,6.82
107,Nizip,0,TR,1563663663,42,37.01,37.79,81.0,8.05
108,Yellowknife,40,CA,1563663664,43,62.45,-114.38,71.6,9.17
109,Tura,0,RU,1563663666,50,64.27,100.22,60.94,4.38
110,Goma,84,CD,1563663667,95,-1.67,29.23,54.64,1.25
111,Nanortalik,100,GL,1563663669,96,60.14,-45.24,41.32,2.57
112,Port Elizabeth,1,US,1563663670,56,39.31,-74.98,96.8,10.29
113,Barrow,100,AR,1563663671,88,-38.31,-60.23,59.5,15.21
114,Igrim,100,RU,1563663673,97,63.19,64.42,62.74,5.23
115,Touros,75,BR,1563663674,88,-5.2,-35.46,77.0,4.7
116,Kavieng,100,PG,1563663675,76,-2.57,150.8,83.8,16.69
117,Gat,28,SN,1563663677,74,14.69,-16.54,78.8,6.93
118,Saint-Pierre,0,FR,1563663678,77,48.95,4.24,69.8,6.93
119,Bulgan,100,MN,1563663679,81,48.81,103.53,60.4,1.81
120,Neiafu,40,TO,1563663666,88,-18.65,-173.98,80.6,11.41
121,Adre,100,TD,1563663683,80,13.47,22.2,72.28,4.32
122,Turukhansk,0,RU,1563663684,58,65.8,87.96,61.84,5.7
123,Tommot,0,RU,1563663686,50,58.97,126.27,57.88,10.85
124,Adrar,79,DZ,1563663687,13,27.87,-0.29,104.0,13.87
125,Rocha,43,UY,1563663688,93,-34.48,-54.34,61.66,11.95
126,Tuktoyaktuk,20,CA,1563663690,72,69.44,-133.03,64.4,14.99
127,Port Alfred,24,ZA,1563663692,87,-33.59,26.89,46.99,3.0
